RecordNo,PHYLO,HODGES,FAMILY,SUBFAMILY,GENUS,SPECIES,DET,COUNTRY,STATE,COUNTY,LOCATION,DATE,YEAR,QUANTITY,STAGE,REARED,LEG,EXCOLLN,DEPOSITED,PHOTOS,NOTE
46659,*,2120.4,GELECHIIDAE,GELECHIINAE,Chionodes,adamas,"Hodges, R.W. 1997",U.S.A.,Missouri,Benton,Warsaw city park,703,1975,1M,,,"Heitzman, J. Richard",,,,Paratype.
46660,*,2120.4,GELECHIIDAE,GELECHIINAE,Chionodes,adamas,"Hodges, R.W. 1997",U.S.A.,Missouri,Boone,Ashland Wildlife Area,315,1977,,,,"Heitzman, J. Richard",,,,Paratype.
46661,*,2120.4,GELECHIIDAE,GELECHIINAE,Chionodes,adamas,"Hodges, R.W. 1997",U.S.A.,Missouri,Boone,Ashland Wildlife Area,516,1978,1M,L,Y,"Carroll, Mike",,,,Paratype. Larva on white oak. Emgd. 22 June 1978.
46662,*,2120.4,GELECHIIDAE,GELECHIINAE,Chionodes,adamas,"Hodges, R.W. 1997",U.S.A.,Missouri,Boone,Ashland Wildlife Area,516,1978,1M,L,Y,"Carroll, Mike",,,,Paratype. Larva on white oak. Emgd. 9 June 1978.
46663,*,2120.4,GELECHIIDAE,GELECHIINAE,Chionodes,adamas,"Hodges, R.W. 1997",U.S.A.,Missouri,Callaway,Danial Boone State Forest,425,1978,1M,L,Y,"Carroll, Mike",,,,Paratype. Larva on white oak. Emgd. 31 May 1978.
46664,*,2120.4,GELECHIIDAE,GELECHIINAE,Chionodes,adamas,"Hodges, R.W. 1997",U.S.A.,Missouri,Grundy,Crowder State Park,419,1980,1M,,,"Heitzman, J. Richard",,,,Paratype.
46665,*,2120.4,GELECHIIDAE,GELECHIINAE,Chionodes,adamas,"Hodges, R.W. 1997",U.S.A.,Missouri,Randolph,Rudolf Bennitt Wildlife Area,727,1968,1M,,,"Heitzman, J. Richard",,,,Paratype.
46666,*,2120.4,GELECHIIDAE,GELECHIINAE,Chionodes,adamas,"Hodges, R.W. 1997",U.S.A.,Missouri,Randolph,Rudolf Bennitt Wildlife Area,726,1969,1F,,,"Heitzman, J. Richard",,,,Paratype.
46667,*,2120.4,GELECHIIDAE,GELECHIINAE,Chionodes,adamas,"Hodges, R.W. 1997",U.S.A.,Missouri,Saint Louis,Saint Louis,411,1929,1M,,,"O'Byrne, H.I.",,"Heitzman, J. Richard",,Paratype.
46464,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Barry,Roaring River State Park,619,1980,1M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46426,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Benton,Warsaw,606,1968,,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46427,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Benton,Warsaw,531,1969,1M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46428,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Benton,Warsaw,710,1971,1F,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46429,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Benton,Warsaw,531,1975,2M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46430,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Benton,Warsaw,605,1975,1M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46431,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Benton,"Warsaw, 3 miles NW of",529,1976,1F,,,,,"Dykstra, Michael",,"[As ""Telphusa"" on JRH data card. PEK]"
46433,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Boone,Columbia,524,1971,1M,,,,,"Craig, Wiltred S.",,"[As ""Telphusa"" on JRH data card. PEK]"
46434,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,531,1975,2M,,,,,"Carroll, Mike",,"[As ""Telphusa"" on JRH data card. PEK]"
46465,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,620,1976,3M,,,,,,,"Light trap collections. [As ""Telphusa"" on JRH data card. PEK]"
46466,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,629,1976,2M,,,,,,,"Light trap collections. [As ""Telphusa"" on JRH data card. PEK]"
46467,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,701,1976,1M,,,,,,,"Light trap collections. [As ""Telphusa"" on JRH data card. PEK]"
46468,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,704,1976,2M,,,,,,,"Light trap collections. [As ""Telphusa"" on JRH data card. PEK]"
46469,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,706,1976,"1M,1F",,,,,,,"Light trap collections. [As ""Telphusa"" on JRH data card. PEK]"
46440,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Cape Girardeau,Trail of Tears State Park,613,1981,"1M,3F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46441,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Cape Girardeau,Trail of Tears State Park,528,1979,4M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46460,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Carter,Big Spring National Park,610,1982,4M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46425,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Clay,Coolie Lake,718,1968,,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46455,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Dent,Salem,609,1982,"2M,1F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46457,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Dunklin,Ben Cash Wildlife Area,610,1982,"4M,2F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46445,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Jasper,Sarcoxie,617,1980,1M,,,,,"Letsinger, Rae",,"[As ""Telphusa"" on JRH data card. PEK]"
46446,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Jasper,Sarcoxie,615,1982,1F,,,,,"Letsinger, Rae",,"[As ""Telphusa"" on JRH data card. PEK]"
46447,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Jasper,Sarcoxie,419,1980,1M,,,,,"Letsinger, Rae",,"[As ""Telphusa"" on JRH data card. PEK]"
46448,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Jasper,Sarcoxie,511,1982,1M,,,,,"Letsinger, Rae",,"[As ""Telphusa"" on JRH data card. PEK]"
46461,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Jefferson,Victoria Glades,604,1983,1F,,,,,"Balogh, George",,"As ""Victoria Glade"" on JRH data card. [As ""Telphusa"" on JRH data card. PEK]"
46462,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Jefferson,Victoria Glades,617,1983,1F,,,,,"Balogh, George",,"As ""Victoria Glade"" on JRH data card. [As ""Telphusa"" on JRH data card. PEK]"
46463,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Arkansas,Madison,Blue Springs Campground,606,1971,4F,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46454,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Maries,Vichy,609,1982,2M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46435,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Oregon,McCormack Lake off Hwy 19,603,1976,1F,,,,,"G N [Nelson, Gayle H. ?, PEK]",,"G.N. Coll.  As ""McCormick Lake off Hwy 19"" on JRH data card. [As ""Telphusa"" on JRH data card. PEK]"
46458,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Pemiscot,Wolf Bayou Wildlife Area,612,1982,"6M,2F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46442,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Reynolds,Johnson's Shut-Ins State Park,609,1982,"12M,4F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46443,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Reynolds,Johnson's Shut-Ins State Park,618,1980,1F,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46444,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Reynolds,Johnson's Shut-Ins State Park,611,1981,"6M,2F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46456,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Ripley,Sand Pond Wildlife Area,609,1982,"5M,1F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46436,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Saint Genevieve,Hawn State Park,612,1981,"8M,3F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46437,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Saint Genevieve,Hawn State Park,616,1978,"2M,1F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46438,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Saint Genevieve,Hawn State Park,624,1983,2M,,,,,"Balogh, George",,"[As ""Telphusa"" on JRH data card. PEK]"
46439,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Saint Genevieve,Hawn State Park,612,1981,2M,,,,,"Balogh, George",,"(Marked) [As ""Telphusa"" on JRH data card. PEK]"
46432,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Saint Louis,County,,1903,,,,"Murtfeldt, M.",,,,"Proc.U.S.N.M.25:785-786,1903.  ""Murtfeldt has reared both light and dark forms from similar larvae in rolled leaves of oak."" [As ""Telphusa"" on JRH data card. PEK]"
46449,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Saint Louis,Greensfelder County Park,603,1981,4M,,,,,"Balogh, George",,"(not contrasting) [As ""Telphusa"" on JRH data card. PEK]"
46450,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Saint Louis,Greensfelder County Park,603,1981,2M,,,,,"Balogh, George",,"(white) [As ""Telphusa"" on JRH data card. PEK]"
48197,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,"Winkler, George",U.S.A.,Missouri,Saint Louis,County,605,1992,1,,,"Winkler, George","Winkler, George",Milwaukee Public Museum,,"Olivette, MO and other places in St. Louis County.  Collected in many places including my yard in suburban area. [As ""Telphusa"" on JRH data card. PEK]"
48198,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,"Winkler, George",U.S.A.,Missouri,Saint Louis,County,606,1992,2,,,"Winkler, George","Winkler, George",Milwaukee Public Museum,,"Olivette, MO and other places in St. Louis County.  Collected in many places including my yard in suburban area. [As ""Telphusa"" on JRH data card. PEK]"
46459,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Scott,General Watkins State Forest,613,1982,"7M,1F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46453,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Stoddard,Holly Ridge Wildlife Area,611,1982,"12M,4F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""Telphusa"" on JRH data card. PEK]"
46470,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Warren,County,531,1991,,,,,"Winkler, George",Milwaukee Public Museum,,"[As ""Telphusa"" on JRH data card. PEK]"
48195,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,"Winkler, George",U.S.A.,Missouri,Warren,"Warrenton, 10 miles S of",531,1991,1,,,"Winkler, George","Winkler, George",Milwaukee Public Museum,,"Hilly and wooded. Very little grassland. [As ""Telphusa"" on JRH data card. PEK]"
48196,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,"Winkler, George",U.S.A.,Missouri,Warren,"Warrenton, 10 miles S of",619,1992,1,,,"Winkler, George","Winkler, George",Milwaukee Public Museum,,"Hilly and wooded. Very little grassland. [As ""Telphusa"" on JRH data card. PEK]"
46451,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Wayne,Markham Springs Recreation Area,610,1982,"2M,1F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"As ""Markham Springs Nat. Cmpg."" on JRH data card. [As ""Telphusa"" on JRH data card. PEK]"
46452,*,1857,GELECHIIDAE,GELECHIINAE,Pubitelphusa,latifasciella,,U.S.A.,Missouri,Wayne,Markham Springs Recreation Area,721,1984,3M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"As ""Markham Springs Nat. Cmpg."" on JRH data card. [As ""Telphusa"" on JRH data card. PEK]"
45373,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Atchison,Brickyard Hill Wildlife Area,903,1983,1M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45395,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Barry,Roaring River State Park,506,1988,1F,,,,,"Heitzman, J. Richard",,
45339,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Benton,Warsaw,531,1969,1M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45340,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Benton,Warsaw,521,1969,1F,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45341,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Benton,Warsaw,809,1969,"1M,2F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45342,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Benton,Warsaw,808,1968,,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45343,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Benton,Warsaw,710,1971,,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45344,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Benton,Warsaw,529,1971,,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45345,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Benton,Warsaw,808,1968,2M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45346,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Benton,Warsaw,710,1971,2M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45347,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Benton,Warsaw,805,1971,4M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45359,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Hallsville,802,1967,1M,,,"Craig, W.S.",,"Craig, Wiltred S.",,
45360,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Hallsville,802,1965,1M,,,"Craig, W.S.",,"Craig, Wiltred S.",,
45361,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Hallsville,801,1967,1M,,,"Craig, W.S.",,"Craig, Wiltred S.",,
45362,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Hallsville,807,1965,1M,,,"Craig, W.S.",,"Craig, Wiltred S.",,
45363,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Columbia,830,1971,1M,,,"Craig, W.S.",,"Craig, Wiltred S.",,
45380,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,518,1976,1,,,,,,,Light trap collections.
45381,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,604,1976,1,,,,,,,Light trap collections.
45382,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,606,1976,1,,,,,,,Light trap collections.
45383,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,719,1976,3,,,,,,,Light trap collections.
45384,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,720,1976,1,,,,,,,Light trap collections.
45385,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,721,1976,1,,,,,,,Light trap collections.
45386,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,725,1976,1,,,,,,,Light trap collections.
45387,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,801,1976,1,,,,,,,Light trap collections.
45388,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,806,1976,1,,,,,,,Light trap collections.
45389,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,810,1976,1,,,,,,,Light trap collections.
45390,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,812,1976,4,,,,,,,Light trap collections.
45391,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,814,1976,2,,,,,,,Light trap collections.
45392,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,818,1976,1,,,,,,,Light trap collections.
45393,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,823,1976,1,,,,,,,Light trap collections.
45394,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,828,1976,1,,,,,,,Light trap collections.
45376,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Carter,Pinewoods Lake Campground,602,1984,4M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45378,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Carter,Blue Springs State Park,901,1968,,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45379,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Carter,Blue Springs State Park,606,1971,,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45348,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Clay,Coolie Lake,722,1972,3M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45349,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Clay,Coolie Lake,719,1975,2M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45350,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Clay,Coolie Lake,517,1975,1M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45351,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Clay,Coolie Lake,718,1968,,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45352,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Clay,Coolie Lake,518,1972,3M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45353,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Clay,Coolie Lake,524,1975,1M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45354,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Clay,Watkins Mill State Park,723,1975,1F,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45356,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Franklin,Meramec State Park,812,1972,1M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45357,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Franklin,Meramec State Park,605,1972,1F,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45369,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Howard,Boone's Lick State Hist. Site,810,1972,2M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"As ""Booneslick State Park"" on JRH data card."
45355,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Jackson,Independence,713,1971,1M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45370,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Jasper,Sarcoxie,522,1978,1M,,,,,"Letsinger, Rae",,
45371,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Jasper,Sarcoxie,507,1979,1M,,,,,"Letsinger, Rae",,
45372,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Jasper,Sarcoxie,520,1984,1M,,,,,"Letsinger, Rae",,
